COM,IRIS,LIBIRIS,LIBCOM,LIB_EPCI_SUB,P18_POP,P18_POP0002,P18_POP0305,P18_POP0610,P18_POP1117,P18_POP1824,P18_POP2539,P18_POP4054,P18_POP5564,P18_POP6579,P18_POP80P
75101,751010101,Saint-Germain l'Auxerrois 1,Paris 1er Arrondissement,Paris,942.182134409194,46.270148911559,15.2513305722274,42.3456336047912,63.1710638883422,106.58388239795,208.812604118373,204.082856908646,118.477082992917,109.824341088607,27.3631899257817
75101,751010102,Saint-Germain l'Auxerrois 2,Paris 1er Arrondissement,Paris,166.812096826042,0,0,2.97176063556464,2.89851899719019,18.7445114286752,20.550197838352,49.2571690560396,11.8594556090791,33.6933281306695,26.8371551304718
75101,751010103,Saint-Germain l'Auxerrois 3,Paris 1er Arrondissement,Paris,260.127420131238,10.0489544371047,9.03417825026338,14.903784169603,11.6159667054423,12.3876250202557,45.3266388974135,56.3228775953885,27.4977594736384,38.5294649239416,34.4601706581876
75101,751010104,Saint-Germain l'Auxerrois 4,Paris 1er Arrondissement,Paris,3.00000259805961,0,0,0,0,0,2.00000173203974,1.00000086601987,0,0,0
75101,751010105,Tuileries,Paris 1er Arrondissement,Paris,0,0,0,0,0,0,0,0,0,0,0
75101,751010199,Seine et Berges,Paris 1er Arrondissement,Paris,0,0,0,0,0,0,0,0,0,0,0
75101,751010201,Les Halles 1,Paris 1er Arrondissement,Paris,2102.64005363334,29.8639332693116,18.8931756531264,49.6440811205097,83.2340766273262,224.590805313819,597.827700083629,478.221802394747,236.78985930875,290.748632793889,92.8259870682366
75101,751010202,Les Halles 2,Paris 1er Arrondissement,Paris,1653.77262753163,37.6673549223524,44.1903612713096,79.658517276999,59.3545487843244,171.704564199945,493.35069309903,380.532263095736,164.081259522752,165.348036877971,57.8850284812117
75101,751010203,Les Halles 3,Paris 1er Arrondissement,Paris,2427.19374799804,45.8047722888305,35.1071565818155,95.836577041822,152.368057108654,259.171836438176,620.908184249378,552.387989710105,232.715077540955,324.959683354074,107.934413684227
75101,751010204,Les Halles 4,Paris 1er Arrondissement,Paris,2219.88659811141,73.6707184373322,50.7733690760655,75.7044231054913,152.439769844805,267.837953628711,555.398584515468,434.820202514928,286.620070980165,243.624071661293,78.9974343471486
75101,751010205,Les Halles 5,Paris 1er Arrondissement,Paris,0,0,0,0,0,0,0,0,0,0,0
75101,751010206,Les Halles 6,Paris 1er Arrondissement,Paris,618.828824126151,24.8955148731647,12.7553354523509,17.7297352418339,29.2652400702212,33.2889640191272,186.018342415331,134.796645864261,59.8489106633393,86.7953619440599,33.4347735824609
75101,751010301,Palais Royal 1,Paris 1er Arrondissement,Paris,2764.54678611079,62.326849718978,66.5023128353867,95.4157457644178,157.088354859754,253.314571150565,596.788570590994,596.585134328712,353.52229138719,433.544791700097,149.458163774694
75101,751010302,Palais Royal 2,Paris 1er Arrondissement,Paris,105.95823501347,0,0,6.88505581959611,10.2410924190486,0,29.8545704712314,31.9451217415252,9.22631623220729,14.84656043606,2.95951789380143
75101,751010303,Palais Royal 3,Paris 1er Arrondissement,Paris,327.911057537167,2.89851899719019,2.97176063556464,11.8138009038841,35.4414027116523,35.5754284344332,64.0533135352257,74.3447371319106,33.7592932337475,45.7016504919536,21.3511514616048
75101,751010401,Place Vendìme 1,Paris 1er Arrondissement,Paris,1167.32771618161,13.8038279223969,32.2087448162042,64.4725634594915,69.6289894777222,119.137880031771,204.631947389284,246.491899586996,152.714385559259,182.939535071154,81.2979428673256
75101,751010402,Place Vendìme 2,Paris 1er Arrondissement,Paris,1332.81269979186,29.5234013920893,31.7965890416091,37.8171763654774,53.5517294198281,151.372027257213,366.586857669739,257.422572285481,138.837258707411,195.146919360498,70.7581682925127
75102,751020501,Gaillon 1,Paris 2e Arrondissement,Paris,1145.79023267407,28.6892901207229,38.1133469718339,37.6554942099539,79.373286054798,149.121916001031,278.179724221393,274.345052013744,143.746847389908,79.4018575743303,37.1634181163553
75102,751020502,Gaillon 2,Paris 2e Arrondissement,Paris,262.433491783962,6.69937768587415,6.02852267039496,10.643427773494,8.60271051145618,20.6090927677709,93.8904752835183,49.4183442055058,36.8339300510027,22.9603215923196,6.74728924262556
75102,751020503,Gaillon 3,Paris 2e Arrondissement,Paris,245.382655076296,11.6423335180389,5.86492207975676,0,11.4017934304478,23.2320495364131,89.4165423341148,46.1996617618416,34.6600591210434,11.3580381097105,11.6072551849291
75102,751020601,Vivienne 1,Paris 2e Arrondissement,Paris,1903.57805669979,28.7347348600754,64.5463401884097,95.0178541720969,170.035646444918,165.712876890581,432.063577249473,520.849748070273,227.029551599456,154.547028630533,45.0406985939748
75102,751020602,Vivienne 2,Paris 2e Arrondissement,Paris,1378.51718867735,39.7932990741354,29.8358686484989,45.1822315015561,41.3080642836456,148.585286049926,425.953836563503,296.638174873362,126.746872105298,183.022405954023,41.4511496234025
75102,751020701,Mail 1,Paris 2e Arrondissement,Paris,1763.07456571852,49.4943620081595,56.9939146396483,74.0322758186636,44.4979394765508,166.102547132051,541.090485061538,390.621529136529,186.062093030694,184.961088973533,69.2183304411537
75102,751020702,Mail 2,Paris 2e Arrondissement,Paris,1927.0405212337,48.6902210797909,33.2404504216682,89.5097737542528,91.4310007040908,215.91835855692,644.89534806581,412.908890811746,168.808788442003,174.558216669913,47.079472727503
75102,751020703,Mail 3,Paris 2e Arrondissement,Paris,2168.74262558109,60.3966098986237,39.3090594895997,77.0407649067224,130.467836364255,204.137056534939,803.826199338372,500.875563713643,202.254539337849,115.594179962362,34.8408160347283
