CODE_IRIS,INSEE_COM,NOM_COM,IRIS,NOM_IRIS,TYP_IRIS,LIB_EPCI,A203,B101,B102,B201,B202,B203,C101,C102,C103,C104,C105,C201,C301,C302,C303,C304,C305,C701,C702,D101,D102,D103,D201,D401,D402,D403,F101,F102,F103,F104,F107,F109,F111,F112,F114,F117,F120,F121,F203,F303,F305,F307,F312,G102,G104
751020601,75102,Paris 2e Arrondissement,0601,Vivienne 1,H,Paris,2,0,2,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5
751020602,75102,Paris 2e Arrondissement,0602,Vivienne 2,A,Paris,8,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,2
751020701,75102,Paris 2e Arrondissement,0701,Mail 1,H,Paris,2,0,0,2,3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4
751020702,75102,Paris 2e Arrondissement,0702,Mail 2,H,Paris,8,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
751020703,75102,Paris 2e Arrondissement,0703,Mail 3,H,Paris,6,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3
751020704,75102,Paris 2e Arrondissement,0704,Mail 4,A,Paris,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
751020801,75102,Paris 2e Arrondissement,0801,Bonne Nouvelle 1,H,Paris,2,0,1,1,7,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
751020802,75102,Paris 2e Arrondissement,0802,Bonne Nouvelle 2,H,Paris,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
751020803,75102,Paris 2e Arrondissement,0803,Bonne Nouvelle 3,H,Paris,0,0,0,1,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,4
751020804,75102,Paris 2e Arrondissement,0804,Bonne Nouvelle 4,H,Paris,2,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
751020805,75102,Paris 2e Arrondissement,0805,Bonne Nouvelle 5,H,Paris,0,0,2,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4
751030901,75103,Paris 3e Arrondissement,0901,Arts et MÇtiers 1,H,Paris,2,0,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
751030902,75103,Paris 3e Arrondissement,0902,Arts et MÇtiers 2,H,Paris,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
751030903,75103,Paris 3e Arrondissement,0903,Arts et MÇtiers 3,H,Paris,1,0,1,0,3,4,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,3
751030904,75103,Paris 3e Arrondissement,0904,Arts et MÇtiers 4,H,Paris,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
751030905,75103,Paris 3e Arrondissement,0905,Arts et MÇtiers 5,H,Paris,7,0,1,2,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2
751031001,75103,Paris 3e Arrondissement,1001,Enfants Rouges 1,H,Paris,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
751031002,75103,Paris 3e Arrondissement,1002,Enfants Rouges 2,H,Paris,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
751031003,75103,Paris 3e Arrondissement,1003,Enfants Rouges 3,H,Paris,1,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3
751031004,75103,Paris 3e Arrondissement,1004,Enfants Rouges 4,H,Paris,4,0,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,1
751031101,75103,Paris 3e Arrondissement,1101,Les Archives 1,H,Paris,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
751031102,75103,Paris 3e Arrondissement,1102,Les Archives 2,H,Paris,1,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
751031103,75103,Paris 3e Arrondissement,1103,Les Archives 3,H,Paris,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
751031104,75103,Paris 3e Arrondissement,1104,Les Archives 4,H,Paris,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
751031201,75103,Paris 3e Arrondissement,1201,Sainte-Avoye 1,H,Paris,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,3
751031202,75103,Paris 3e Arrondissement,1202,Sainte-Avoye 2,H,Paris,2,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
751031203,75103,Paris 3e Arrondissement,1203,Sainte-Avoye 3,H,Paris,5,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
751031204,75103,Paris 3e Arrondissement,1204,Sainte-Avoye 4,H,Paris,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,2
