INSEE_COM,NOM_COM,LIB_EPCI_SUB,C18_POP15P_CS1,C18_POP15P_CS2,C18_POP15P_CS3,C18_POP15P_CS4,C18_POP15P_CS5,C18_POP15P_CS6,C18_POP15P_CS7,C18_POP15P_CS8,P18_POP1564,P18_POP1524,P18_POP2554,P18_POP5564,P18_ACT1564,P18_ACT1524,P18_ACT2554,P18_ACT5564,P18_CHOM1564,P18_CHOM1524,P18_CHOM2554,P18_CHOM5564,P18_ETUD1564,P18_RETR1564,P18_SAL15P,P18_SAL15P_CDD,P18_SAL15P_INTERIM,P18_SAL15P_EMPAID,P18_SAL15P_APPR,P18_NSAL15P_INDEP,P18_NSAL15P_EMPLOY,DEC_Q119,DEC_MED19,DEC_Q319,DEC_TP6019
75101,Paris 1er Arrondissement,Paris,8.25045670770628,863.114280390827,4545.33367188707,1861.49336224481,1520.67913224442,476.786401709065,2642.88344308727,2384.74131998456,11353.9508840568,2037.68238315937,7490.31947968599,1825.94902121141,8947.20858365218,810.795991989584,6837.3700958313,1299.04249583129,952.523080881375,182.60612521836,669.110678595419,100.806277067596,1313.80860120202,330.238837885919,6243.39107088122,688.132769194131,34.1303809667549,6.23984190845077,252.056949961062,1281.81223369564,881.927460108494,20990,38120,66150,14
75102,Paris 2e Arrondissement,Paris,6.36985844257356,1107.92637383695,7450.03117962338,2932.37820877116,2081.72356930193,758.05056545824,2090.28739812853,2400.79250980039,16545.7380931523,2566.86674760788,11930.7938877523,2048.07745779204,14086.7995249993,1198.54105919934,11251.1099812502,1637.14848454969,1378.9320404618,187.240705800908,999.557198730731,192.134135930163,1459.23911566569,229.06143281645,10093.2304772575,929.52945282685,52.1635526908606,11.3323724959129,492.795725287464,1802.30918496273,1121.53060346168,18540,35670,60410,16
75103,Paris 3e Arrondissement,Paris,0,1686.77569177099,10908.847932733,4699.87354624883,3066.93289308865,839.229233728308,4476.87445118595,4450.62936637932,25188.7361717299,4167.59053403473,17477.7361513369,3543.40948635819,20716.8469132683,1664.89286139941,16233.1143511629,2818.83970070594,2064.05756096066,264.196843001582,1507.45544455329,292.405273405791,2701.36477578036,460.93476291238,14476.648824608,1538.64979067349,92.2571032346573,15.7233786157978,565.135097297166,3096.56886183872,1699.8243867253,19760,36840,61550,15
75104,Paris 4e Arrondissement,Paris,9.20028392783444,1276.87230485401,8326.79714377062,3717.9888780766,2762.88515699319,670.772199833994,4417.38404092959,4187.8708965656,20531.4015094869,3864.37904723483,13325.2138603364,3341.8086019157,16302.3182686493,1497.36220741269,12196.9985485619,2607.95751267472,1807.17590377668,233.176211349615,1289.72357790992,284.276114517145,2497.32604062752,472.546677479748,11384.9559609102,1383.24782588251,84.32990253225,29.1953164333657,595.209679989103,2298.17173485,1416.11267071169,19120,34590,59700,16
75105,Paris 5e Arrondissement,Paris,10.1883481120034,1941.21567550115,16644.6970232825,5995.50048629189,4069.78997414561,1151.61058967264,10588.1308428077,11337.3755388364,40016.6670009785,11265.42177045,22442.5268758562,6308.71835467225,28629.6131540994,3193.52537805647,20465.3234108771,4970.76436516574,2618.27236970121,476.184620409489,1762.90383906984,379.183910221878,8693.10126518663,928.728623911549,21515.8819775538,2717.57402737805,156.07700205172,43.972451742215,1384.52348861422,3754.21267421885,2038.5314012801,21890,37740,61040,13
75106,Paris 6e Arrondissement,Paris,20.1876569816557,1845.00037754482,10856.2084848691,3708.19364688855,2687.06888644698,758.424223510113,8123.93469906042,8442.96569488131,26750.1542502178,7318.3395887673,14950.1999806349,4481.61468081562,18635.5297854254,1793.50090941703,13381.217388989,3460.81148701928,1792.17383183862,245.487809253631,1234.27373983246,312.412282752531,5947.01095713811,560.83251465406,12888.3420542424,1463.43896774571,60.9590266804142,37.452584493586,636.032659735606,3013.48399554344,2272.63076577664,24180,45330,80530,12
75107,Paris 7e Arrondissement,Paris,18.3220736823157,2616.84435476998,13822.9903229012,4528.29701312615,4090.71940950466,1038.85353279435,9563.79193544342,8559.48414643722,32662.2847824719,7293.38435134582,19415.2396526513,5953.66077847471,24523.4943244888,2292.60913523036,17617.0285006317,4613.85668862668,2208.74661481997,288.862692999979,1500.42154459143,419.462377228562,5333.17694005122,774.228771887004,17253.8054191817,1762.26446938493,69.8707602997685,29.043122646719,960.306590958632,3510.82721399059,3218.39813530704,26830,50480,93560,10
75108,Paris 8e Arrondissement,Paris,12.7066349650834,1865.57015622933,10322.3078003535,3524.15597048759,3168.28070976625,995.896731158257,5211.46779927715,5874.55698411402,24774.5465659719,5381.89321858172,15340.4626662072,4052.19068118304,19114.0375905451,1735.78376790771,14210.2794157152,3167.97440692227,1572.78230638949,282.278270891445,1074.76894054951,215.735094948532,3684.96194828182,508.146640954211,13722.7131760514,1062.66578362183,108.692053603227,10.0016791701739,620.55565400439,2495.12627150886,2225.45892327331,25290,49260,88340,11
75109,Paris 9e Arrondissement,Paris,9.60216423634228,2898.71363366261,20597.7906531479,7230.97206699274,4793.07043961872,1672.36010313263,7073.9759421677,7320.1307335218,43756.2122493527,7232.48180462214,30701.9041404933,5821.82630423726,36384.912126362,2784.10946168782,29036.5906340308,4564.2120306433,3444.99852686192,355.874190346929,2680.63816038966,408.486176125339,4700.08758548708,739.880474230908,26585.2464465759,2603.27188186032,191.14040401447,52.2548023092269,1005.36929200131,4600.36616624304,2753.28110100952,21760,39640,65360,14
75110,Paris 10e Arrondissement,Paris,10.7801060823176,3057.97418109334,25949.7801573657,11849.4663873638,9014.8710661343,3397.98328386258,10440.7326044975,12033.1962979931,64870.7888389623,10198.0548048407,45794.5819522402,8878.15208188148,52739.2644012023,3925.6959793467,42298.3978291872,6515.17059266847,6415.96766889926,840.336437009975,4699.53998356927,876.091248320014,6597.28375152694,1379.44586432161,38483.816184166,4651.7139552282,316.328848435775,114.777639846272,1157.28122761886,6041.22349865192,2820.12126627212,15170,29360,48230,21
