"CODE_IRIS","COM","DEP","LIBCOM","LIBIRIS","TRIRIS","GRD_QUART","TYP_IRIS","MODIF_IRIS","LAB_IRIS","P13_POP","P13_POP0024_CALC","P13_POP1824","P13_POP65P","P13_POP0014","P13_POP1529","P13_POP3044","P13_POP4559","P13_POP6074","P13_POP75P"
"751030901","75103","75","Paris 3e Arrondissement","Arts et Metiers 1","750061","7510309","H","00","1",1862,520,222,144,258,538,518,320,183,45
"751031104","75103","75","Paris 3e Arrondissement","Les Archives 4","750081","7510311","H","00","1",2852,693,264,398,366,606,770,540,395,175
"751031002","75103","75","Paris 3e Arrondissement","Enfants Rouges 2","750071","7510310","H","00","1",2193,481,216,341,220,459,630,417,316,152
"751030902","75103","75","Paris 3e Arrondissement","Arts et Metiers 2","750061","7510309","H","00","1",2165,528,321,202,185,712,652,321,231,65
"751031101","75103","75","Paris 3e Arrondissement","Les Archives 1","750081","7510311","H","00","1",2281,578,187,293,325,515,580,454,309,99
"751031102","75103","75","Paris 3e Arrondissement","Les Archives 2","750081","7510311","H","00","2",1790,411,189,373,196,350,449,327,304,165
"751031004","75103","75","Paris 3e Arrondissement","Enfants Rouges 4","750071","7510310","H","00","1",2124,543,212,223,289,547,582,389,199,118
"751031001","75103","75","Paris 3e Arrondissement","Enfants Rouges 1","750071","7510310","H","00","1",2321,605,222,228,354,503,689,440,221,114
"751031003","75103","75","Paris 3e Arrondissement","Enfants Rouges 3","750071","7510310","H","00","1",2677,638,300,306,306,660,749,524,339,98
"751041502","75104","75","Paris 4e Arrondissement","Arsenal 2","750111","7510415","H","00","1",1566,316,136,365,148,348,345,262,317,146
"751041301","75104","75","Paris 4e Arrondissement","Saint-Merri 1","750131","7510413","H","00","2",1742,444,176,254,234,382,436,347,228,115
"751041501","75104","75","Paris 4e Arrondissement","Arsenal 1","750111","7510415","H","00","1",3109,1016,329,416,595,703,729,545,331,206
"751041503","75104","75","Paris 4e Arrondissement","Arsenal 3","750111","7510415","H","00","1",1889,500,180,308,256,426,408,361,263,176
"751041303","75104","75","Paris 4e Arrondissement","Saint-Merri 3","750131","7510413","H","00","2",1757,433,231,220,167,446,432,363,270,79
