"CODE_IRIS","COM","DEP","LIBCOM","LIBIRIS","TRIRIS","GRD_QUART","TYP_IRIS","MODIF_IRIS","LAB_IRIS","C13_POP15P_CS7_tx","P13_ACT1564_tx","P13_CHOM1564_tx","P13_ETUD1564_tx","P13_ACT1524_tx","P13_CHOM1524_tx","P13_SAL15P_CDD_tx","P13_SAL15P_INTERIM_tx"
"751031103","75103","75","Paris 3e Arrondissement","Les Archives 3","750081","7510311","H","00","1",25.1,77.9,14.1,12.3,27.7,27.5,11.1,0
"751030903","75103","75","Paris 3e Arrondissement","Arts et Metiers 3","750061","7510309","H","00","2",10.6,83.8,11,10.7,37.1,26.6,11.1,0.3
"751031203","75103","75","Paris 3e Arrondissement","Sainte-Avoye 3","750091","7510312","H","00","1",20.3,78.3,14.1,11.1,34.2,19.5,10.8,0.7
"751030905","75103","75","Paris 3e Arrondissement","Arts et Metiers 5","750061","7510309","H","00","2",12.9,79.5,10.3,13.2,39.9,10,11.2,0.4
"751030901","75103","75","Paris 3e Arrondissement","Arts et Metiers 1","750061","7510309","H","00","1",9.3,82.9,11.6,10.5,43.9,17.4,14.3,0.9
"751031104","75103","75","Paris 3e Arrondissement","Les Archives 4","750081","7510311","H","00","1",17,79.9,7.4,12.6,26,20,11.9,0
"751031002","75103","75","Paris 3e Arrondissement","Enfants Rouges 2","750071","7510310","H","00","1",16.8,81.6,11.9,9.6,42,27.3,13.1,1.1
"751030902","75103","75","Paris 3e Arrondissement","Arts et Metiers 2","750061","7510309","H","00","1",11.6,84.1,11.7,9.6,53.9,10.8,17.5,0.8
"751031101","75103","75","Paris 3e Arrondissement","Les Archives 1","750081","7510311","H","00","1",15,79.7,10.6,12.4,29.6,25.3,7.7,0.1
"751031102","75103","75","Paris 3e Arrondissement","Les Archives 2","750081","7510311","H","00","2",19.4,81.1,12.6,10.8,39.8,23.3,12.9,0
"751031004","75103","75","Paris 3e Arrondissement","Enfants Rouges 4","750071","7510310","H","00","1",11.8,81.3,9.7,11.7,33.6,28.2,15.9,0.4
"751031001","75103","75","Paris 3e Arrondissement","Enfants Rouges 1","750071","7510310","H","00","1",11.7,83.2,8.9,8.7,42.8,10.3,12.5,0.4
"751031003","75103","75","Paris 3e Arrondissement","Enfants Rouges 3","750071","7510310","H","00","1",12.3,82.4,9.7,9.8,48.2,13.1,12.7,1.6
"751041502","75104","75","Paris 4e Arrondissement","Arsenal 2","750111","7510415","H","00","1",22.9,81.9,6.7,12.6,32.7,16.4,16.3,0
"751041301","75104","75","Paris 4e Arrondissement","Saint-Merri 1","750131","7510413","H","00","2",16.2,82.3,10.9,12.5,32.9,14.5,17.9,0.1
"751041501","75104","75","Paris 4e Arrondissement","Arsenal 1","750111","7510415","H","00","1",15.2,79.3,8.1,13.4,37.5,8.2,13.6,0.9
"751041503","75104","75","Paris 4e Arrondissement","Arsenal 3","750111","7510415","H","00","1",18.2,79,9.7,12.6,34.8,23.5,17.9,0.4
"751041303","75104","75","Paris 4e Arrondissement","Saint-Merri 3","750131","7510413","H","00","2",14.6,78.2,14.7,12.3,40.8,20.4,16.7,0.1
