"CODE_IRIS","COM","DEP","LIBCOM","LIBIRIS","TRIRIS","GRD_QUART","TYP_IRIS","MODIF_IRIS","LAB_IRIS","DEC_TP6013","DEC_MED13"
"751041303","75104","75","Paris 4e Arrondissement","Saint-Merri 3","750131","7510413","H","00","2","19,6",29696
"751041504","75104","75","Paris 4e Arrondissement","Arsenal 4","750111","7510415","H","00","1","14,3",33870
"751041302","75104","75","Paris 4e Arrondissement","Saint-Merri 2","750131","7510413","H","00","1","15,5",32492
"751041588","75104","75","Paris 4e Arrondissement","Bassin de l'Arsenal","750111","7510415","D","00","3",,
"751041499","75104","75","Paris 4e Arrondissement","Seine et Berges","750101","7510414","D","00","3",,
"751041404","75104","75","Paris 4e Arrondissement","Saint-Gervais 4","750101","7510414","H","00","1","15,9",30580
"751041602","75104","75","Paris 4e Arrondissement","Notre Dame 2","750121","7510416","H","00","2",,
"751041402","75104","75","Paris 4e Arrondissement","Saint-Gervais 2","750101","7510414","H","00","1","14,3",31018
"751041403","75104","75","Paris 4e Arrondissement","Saint-Gervais 3","750101","7510414","H","00","1","17,1",30829
"751041601","75104","75","Paris 4e Arrondissement","Notre Dame 1","750121","7510416","H","00","1","13,8",39694
"751041304","75104","75","Paris 4e Arrondissement","Saint-Merri 4","750121","7510413","A","00","3",,
"751041603","75104","75","Paris 4e Arrondissement","Notre Dame 3","750121","7510416","A","00","3",,
"751041699","75104","75","Paris 4e Arrondissement","Seine et Berges","750121","7510416","D","00","3",,
"751041401","75104","75","Paris 4e Arrondissement","Saint-Gervais 1","750101","7510414","H","00","1","22,7",25161
"751041305","75104","75","Paris 4e Arrondissement","Saint-Merri 5","750131","7510413","A","00","3",,
"751041399","75104","75","Paris 4e Arrondissement","Seine et Berges","750121","7510413","D","00","3",,
"751041599","75104","75","Paris 4e Arrondissement","Seine et Berges","750111","7510415","D","00","3",,
"751051904","75105","75","Paris 5e Arrondissement","Val de Grace 4","750191","7510519","H","00","2","",43948
"751051802","75105","75","Paris 5e Arrondissement","Jardin des Plantes 2","750181","7510518","H","00","2","13,5",31864
"751051706","75105","75","Paris 5e Arrondissement","Saint-Victor 6","750141","7510517","A","00","3",,
"751051903","75105","75","Paris 5e Arrondissement","Val de Grace 3","750191","7510519","H","00","1","12,1",37060
"751051705","75105","75","Paris 5e Arrondissement","Saint-Victor 5","750141","7510517","H","00","1","13,9",37403
"751051803","75105","75","Paris 5e Arrondissement","Jardin des Plantes 3","750181","7510518","H","00","1","11,5",35508
"751051799","75105","75","Paris 5e Arrondissement","Seine et berges","750141","7510517","D","00","3",,
"751051801","75105","75","Paris 5e Arrondissement","Jardin des Plantes 1","750161","7510518","H","00","1","",34930
"751051901","75105","75","Paris 5e Arrondissement","Val de Grace 1","750191","7510519","H","00","1","12,1",35573
"751051704","75105","75","Paris 5e Arrondissement","Saint-Victor 4","750141","7510517","H","00","1","9,7",35308
"751052005","75105","75","Paris 5e Arrondissement","Sorbonne 5","750211","7510520","A","00","3",,
"751051902","75105","75","Paris 5e Arrondissement","Val de Grace 2","750191","7510519","H","00","1","",37723
"751051701","75105","75","Paris 5e Arrondissement","Saint-Victor 1","750151","7510517","H","00","1","15,1",31921
"751051702","75105","75","Paris 5e Arrondissement","Saint-Victor 2","750151","7510517","H","00","1","",34092
"751051703","75105","75","Paris 5e Arrondissement","Saint-Victor 3","750151","7510517","H","00","1","10,3",30094
"751052099","75105","75","Paris 5e Arrondissement","Seine et berges","750221","7510520","D","00","3",,
"751051899","75105","75","Paris 5e Arrondissement","Seine et berges","750161","7510518","D","00","3",,
"751052002","75105","75","Paris 5e Arrondissement","Sorbonne 2","750211","7510520","H","00","2","",41252
"751052003","75105","75","Paris 5e Arrondissement","Sorbonne 3","750221","7510520","H","00","1","16,8",31913
"751051905","75105","75","Paris 5e Arrondissement","Val de Grace 5","750201","7510519","H","00","1","10,4",48046
"751051804","75105","75","Paris 5e Arrondissement","Jardin des Plantes 4","750181","7510518","H","00","1","14,9",29784
"751051805","75105","75","Paris 5e Arrondissement","Jardin des Plantes 5","750161","7510518","H","00","1","16,1",30168
"751051806","75105","75","Paris 5e Arrondissement","Jardin des Plantes 6","750171","7510518","H","00","1","15,3",29588
"751051809","75105","75","Paris 5e Arrondissement","Jardin des Plantes","750161","7510518","D","00","3",,
"751051808","75105","75","Paris 5e Arrondissement","Jardin des Plantes 8","750171","7510518","H","00","1","",36974
"751051907","75105","75","Paris 5e Arrondissement","Val de Grace 7","750201","7510519","H","00","2","12,2",36440
"751051908","75105","75","Paris 5e Arrondissement","Val de Grace 8","750201","7510519","H","00","1","12,7",34690
"751052004","75105","75","Paris 5e Arrondissement","Sorbonne 4","750221","7510520","H","00","1","14,2",36508
"751051906","75105","75","Paris 5e Arrondissement","Val de Grace 6","750201","7510519","H","00","1","",38720
"751051807","75105","75","Paris 5e Arrondissement","Jardin des Plantes 7","750171","7510518","H","00","1","10,4",30555
"751052001","75105","75","Paris 5e Arrondissement","Sorbonne 1","750211","7510520","H","00","1","16,0",31681
"751062310","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 10","750271","7510623","H","00","2","11,7",42306
"751062311","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 11","750271","7510623","H","00","2","",47538
"751062102","75106","75","Paris 6e Arrondissement","Monnaie 2","750231","7510621","H","00","1","15,3",34382
"751062309","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 9","750271","7510623","H","00","1","13,6",38710
"751062307","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 7","750261","7510623","H","00","1","",43990
"751062201","75106","75","Paris 6e Arrondissement","Odeon 1","750241","7510622","H","00","1","",46973
"751062103","75106","75","Paris 6e Arrondissement","Monnaie 3","750231","7510621","H","00","1","16,0",35182
"751062202","75106","75","Paris 6e Arrondissement","Odeon 2","750241","7510622","H","00","2","",45662
"751062199","75106","75","Paris 6e Arrondissement","Seine et Berges","750231","7510621","D","00","3",,
"751062308","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 8","750261","7510623","H","00","1","10,1",39386
"751062305","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 5","750251","7510623","H","00","1","11,4",45806
"751062306","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 6","750261","7510623","H","00","1","",43308
"751062101","75106","75","Paris 6e Arrondissement","Monnaie 1","750231","7510621","H","00","1","",42368
"751062302","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 2","750251","7510623","H","00","1","",53410
"751062303","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 3","750251","7510623","H","00","2","",45114
"751062304","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 4","750271","7510623","H","00","1","",48826
"751062205","75106","75","Paris 6e Arrondissement","Jardin du Luxembourg","750241","7510622","D","00","3",,
"751062301","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 1","750251","7510623","H","00","2","",44198
"751062402","75106","75","Paris 6e Arrondissement","Saint-Germain des Pres 2","750281","7510624","H","00","1","12,5",43262
"751062204","75106","75","Paris 6e Arrondissement","Odeon 4","750241","7510622","H","00","1","12,6",37562
"751062203","75106","75","Paris 6e Arrondissement","Odeon 3","750241","7510622","H","00","2","14,4",34250
"751062401","75106","75","Paris 6e Arrondissement","Saint-Germain des Pres 1","750281","7510624","H","00","2","",38031
"751062499","75106","75","Paris 6e Arrondissement","Seine et Berges","750281","7510624","D","00","3",,
"751072703","75107","75","Paris 7e Arrondissement","Ecole Militaire 3","750331","7510727","H","00","2","",55732
"751072506","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 6","750301","7510725","H","00","1","10,9",46796
"751072810","75107","75","Paris 7e Arrondissement","Gros Caillou 10","750361","7510728","H","00","1","12,6",38056
"751072507","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 7","750311","7510725","A","00","3",,
"751072811","75107","75","Paris 7e Arrondissement","Gros Caillou 11","750361","7510728","H","00","2","",50446
"751072705","75107","75","Paris 7e Arrondissement","Ecole Militaire 5","750331","7510727","H","00","1","",55604
"751072809","75107","75","Paris 7e Arrondissement","Gros Caillou 9","750361","7510728","H","00","2","",50044
"751072505","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 5","750301","7510725","H","00","2","",42622
"751072702","75107","75","Paris 7e Arrondissement","Ecole Militaire 2","750321","7510727","H","00","2","",43490
"751072808","75107","75","Paris 7e Arrondissement","Gros Caillou 8","750361","7510728","H","00","2","",51916
